	DMDYC4J	DMCVJK9	DM21WBH	DM42PFT	DMF3DZX	DMSFWT7	DMH5RFU	DMN9YOB	DMBZMYT	DM5DMCH
GSM3507251	1.1059341214479586	1.0578058244077666	0.9998239405761538	1.032397342455966	-0.2551791076916889	1.0275063461389102	1.1052009715358746	-0.29328823129282544	0.952149219720515	1.128999701395661
GSM3507252	-1.164399227168086	-1.144765459113894	-1.277501641042977	-1.2729094143505224	0.4944495013224551	-1.151427099472359	-1.2855588697263096	0.46657555291639674	-1.1336857351198508	-1.3824720033708489
GSM3507253	-0.7361743013620988	-0.7306505111962277	-0.841476335488494	-0.8485814875511337	-0.09815387378902188	-0.8386768614913263	-0.8747651859174832	-0.08785488226698485	-0.8079036538197567	-0.8653445285035191
GSM3507254	-1.0489966448784072	-1.040850502198807	-1.2330606595295748	-1.2607398427045806	0.6475661968733258	-1.1089834849648075	-1.2510866666704819	0.6187796173477852	-1.0682491848797986	-1.4021454404540012
GSM3507255	-1.1731449771144697	-1.1728995780251907	-1.3250905085980533	-1.3788422104858584	0.8050075541180041	-1.1479566556603098	-1.268808765682693	0.8019745947603697	-1.150457666955415	-1.543662494689422
GSM3507256	0.09689515394480339	0.09063814490041952	0.10325995236187654	0.08438290685593594	0.5623022710062703	0.1804329892201814	0.16555550950543504	0.4186323253415073	0.11017753497282043	-0.35812951937887166
GSM3507257	-1.762334895645711	-1.732177381208968	-1.9957115887660364	-2.060868818507612	1.1370427637526335	-1.819128644602772	-1.9867335203447976	1.1188981533573665	-1.8312890456647428	-2.262745819214971
GSM3507258	0.31200105106072834	0.29962647980324936	0.4647771983404975	0.45540850475405914	-0.3920930104327487	0.33115296611907574	0.422475770775272	-0.3441586629793171	0.3288652309778182	0.34366975738467437
GSM3507259	-0.5087412270028825	-0.5190309143456164	-0.6832393136554157	-0.6678788775008625	0.31655715115355343	-0.589112851121882	-0.6693069848065216	0.3120663425168392	-0.5844721933260366	-0.7597164133732114
GSM3507260	0.5769311772629674	0.5425914457443787	0.5503452856275212	0.4888311857716069	0.09340035397715131	0.4735442330792672	0.5219522070249374	0.07956347183531602	0.4858088586093479	0.7379200371576273
GSM3507261	0.5423550530449166	0.5204116735938018	0.6246827862376857	0.6440331378102483	-0.19976082395278516	0.5797868495647104	0.6286184454240872	-0.2114611061785562	0.5733339169594666	0.6529265932037167
GSM3507262	0.3282527815309269	0.3372308661578479	0.4349028152900392	0.45404665052927806	-0.14239432842847044	0.45403281056290085	0.48426363210523843	-0.1147756017187165	0.4600045939596104	0.5616273273500381
GSM3507263	0.8975819743148168	0.884671998468697	1.0110468862320143	1.0728916880796737	-0.12120351427040128	0.9446981936134288	1.060968484346343	-0.11769818920365728	0.9118758175696874	1.2089712448476535
GSM3507264	-0.059401399410508995	-0.05070083470780596	-0.06378549871799802	-0.08878276360354559	0.07476071433301498	-0.07484824517034379	-0.08100628181515043	0.0785315626491476	-0.05696208610826084	-0.04406350035055791
GSM3507265	-0.11204546280425917	-0.10539264417529808	-0.19763922351984967	-0.19390433775316596	-0.28307359261972476	-0.24602456948213214	-0.2371060520262207	-0.2741098194843881	-0.24477463507138741	-0.299184540383062
GSM3507266	-0.1400058340153797	-0.11306616882094861	-0.039176664720135305	-0.003924456666705043	-0.20997597093825981	0.015971512638448013	-0.010776990885116963	-0.17812576296320298	0.0002810284626637784	-0.13771198530456516
GSM3507267	-0.9416784758597421	-0.932696388342136	-1.2221868609002504	-1.276379871974408	0.771955600223168	-1.0715158983334858	-1.2130537521998124	0.7600116633630103	-1.0818598334684917	-1.4103093715407677
GSM3507268	-0.054548623191946	-0.043464042992514926	-0.04547910265779203	-0.0691590901790862	-0.08515425802290509	-0.07646506367096209	-0.08525558289316834	-0.07620808117416907	-0.0670382510350544	-0.07916787510121136
GSM3507269	-0.6479557716655318	-0.6274308532221808	-0.741111422811667	-0.7621243168551087	-0.025044853505246878	-0.6665594690302374	-0.7672988655396369	-0.028338595314587364	-0.6584928663513603	-0.9258709905206287
GSM3507270	0.2227853386092077	0.23286790069924881	0.40608047546951653	0.3755880558705843	-0.051301447368552994	0.3593561412201827	0.40444158272336944	-0.048850343734707355	0.35506108427863114	0.457013620378312
GSM3507271	0.7691113987539561	0.7701700840472353	0.7648562104773233	0.7768440386936698	-0.39802163343208435	0.6835473896212714	0.7610702622187454	-0.35689945635438886	0.6764390689538116	0.8012218529757004
GSM3507272	-0.061383499465997804	-0.05453423776684574	0.02494268462013104	0.016141982372850635	-0.12628678012445835	0.05846459895212354	0.03916016921656271	-0.13637787913319188	0.024862173221013372	0.014111327502372938
GSM3507273	0.32497508286621424	0.32803705678879136	0.29502593483160666	0.2631610528379408	0.011240522642200127	0.24981770866108116	0.2649629084949004	0.007172456032033394	0.2687364662406748	0.3442691895103153
GSM3507274	0.2206387923023426	0.21341330777795162	0.2831019026488707	0.268621530941701	-0.3171625108085593	0.2252222108011196	0.2700062295924053	-0.28528614964020993	0.2268124488013015	0.3948526260773423
GSM3507275	0.3794302097092682	0.3650756492943683	0.38961481943979714	0.41026360705007414	-0.1965947162651205	0.3741373065509942	0.40244385126416293	-0.21190983969175423	0.37005236055682555	0.5112096559355411
GSM3507276	-0.17497843220046047	-0.1584994419659434	-0.1339363867098949	-0.1177011067835211	-0.08368952535994444	-0.14033044578603987	-0.11314673495037872	-0.0835978633922542	-0.13921500027097364	-0.12568136433243804
GSM3507277	-0.011478484926288621	0.013912623607016485	-0.11064371756919546	-0.07215737426424333	-0.34598393923363513	-0.1435231479973384	-0.16692796477592153	-0.31513560819973696	-0.09947029869211753	-0.038213689158930045
GSM3507278	0.322823802296551	0.29887610252146307	0.45532101568579475	0.43387185924813343	-0.16962097188751238	0.3812063424174426	0.44492658750496517	-0.15237251951265918	0.37152652716444323	0.5006804726842443
GSM3507279	0.06709109773326481	0.06741928335918793	0.1426450334751311	0.14984239482741987	-0.28560611897066945	0.10952593846193634	0.12006140232924711	-0.28333701309497783	0.10706480259789965	0.15650484657241284
GSM3507280	0.05034354949659835	0.04878324699521143	0.10162755383482115	0.11599852310773935	-0.014861563217954343	0.11443754585899385	0.10364183231968853	-0.00883644673644731	0.10428035499791789	0.1822175263874481
GSM3507281	-0.1394437066478129	-0.12541910530542383	-0.11273991682492296	-0.06037048702333575	0.12659796694416592	-0.033153450109799205	-0.05411731553503765	0.11573876744488633	-0.04264878891136471	-0.06774561000148811
GSM3507282	0.4027379689176045	0.3965844935822256	0.46243269598244763	0.4720960549031245	0.13381579236953595	0.42603509904981707	0.46889061409940946	0.13927129184889997	0.42777936468489414	0.6054541134071387
GSM3507283	0.024550391457385145	0.02133999456982825	-0.019033732850043436	0.03327886538289065	-0.4525896778987366	-0.09664953103691282	-0.06259261018642712	-0.44776493573746545	-0.07929614838148383	0.0384053259807977
GSM3507284	-0.2389082362176161	-0.219977382657104	-0.11887715277654488	-0.13640598447629296	0.16588363628614114	-0.07209683014065951	-0.12588796317225626	0.18983217251606743	-0.07042537496699444	-0.1394871657030166
GSM3507285	0.7136138531468773	0.7011070524053172	0.6970261421528117	0.7649740785212219	-0.6116831154756975	0.5774620984781108	0.6757230660843111	-0.6062722823160446	0.5971237590764293	0.8079312341870678
GSM3507286	0.04770585602833297	0.042005105845002035	0.18273344581488743	0.15551210009809407	0.021580158400991766	0.06786108383217634	0.12439205535610094	0.004174517109400887	0.103752257198944	0.29080081976913025
GSM3507287	1.0869738293922164	1.0480580926139074	1.1662097225845995	1.1989133770046851	-0.5706673198292345	1.0464655552072444	1.1774210047864957	-0.5637677104781602	1.0404907503531398	1.3718894312310197
GSM3507288	0.45082621079310525	0.45123033282411534	0.40798162369462493	0.4066712680445706	0.010266628225663746	0.36079441708149745	0.3837581937489282	-0.00482858658128725	0.37891509601800627	0.5546134211621908
GSM3507289	0.6179404719354828	0.607658539817649	0.8280554921049668	0.8560233874865639	-0.2459919405952811	0.7919020487280631	0.8680428664388653	-0.19543121461229013	0.7689268831434335	0.9260346242746686
GSM3507290	-0.5858799664683164	-0.5679598537797642	-0.6358038903442647	-0.6590631519680435	0.30966778249040855	-0.5569091377876051	-0.6445475397679228	0.3154642927529451	-0.5280788354961986	-0.7496724379935491
